batchNum;controlNumber;prdLvlNumber;orgLvlNumber;atrTypTechKey;atrTypeDesc;atrHdrTechKey;atrHdrDesc;atrCode;tranType;atrCodeDesc;attCreate;prd_lvl_id;org_lvl_id;dateCreated;downloadDate1;downloadDate2;atrIsValue;errorCode;vendorNumber;altPrdLvlNumber;altPrdLvlId;altOrgLvlNumber;altOrgLvlId;prdRef
2423;1;JMBLUISV23-QYQD;;;COMERCIAL;;AFECTO GARANTI;;A;NO;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;COMERCIAL;;CICLO DE VIDA;;A;BASICO;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;COMERCIAL;;COMPOSICION;;A;90% COTTON/10% POLYESTER;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;COMERCIAL;;MARCA;;A;ISSIMO;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;COMERCIAL;;PROCEDENCIA;;A;IMPORTADO;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;COMERCIAL;;TEJIDO;;A;SIN TEJIDO;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;COMERCIAL;;TEMPORADA COMERCIAL;;A;PRIMAVERA - VERANO;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;COMERCIAL;;TEMPORADA COMPRA;;A;PV23;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;TIPO PRODUCTO;;E-COMMERCE;;A;SI;F;1;;20221129;;;F;;;;;;;
2423;1;JMBLUISV23-QYQD;;;TIPO PRODUCTO;;VENTA VIRTUAL;;A;NO;F;1;;20221129;;;F;;;;;;;
